Date,Open,High,Low,Close,Adj Close,Volume,Day
2018-08-24,116,116.639999,114.879997,115.440002,115.440002,1787913,134
2018-08-27,115.839996,116.080002,115.279999,116,116,1358450,135
2018-08-28,116.080002,116.080002,114.800003,115.440002,115.440002,1341263,136
2018-08-29,116.239998,117.360001,115.839996,117.279999,117.279999,2214938,137
2018-08-30,117.519997,118.639999,117.120003,118,118,1791738,138
2018-08-31,117.839996,118.239998,117.199997,117.68,117.68,1375350,139
2018-09-04,118.800003,118.959999,116.239998,116.639999,116.639999,1879475,140
2018-09-05,116.639999,117.120003,115.519997,115.919998,115.919998,1609200,141
2018-09-06,115.68,115.919998,112.800003,114.400002,114.400002,1942388,142
2018-09-07,113.040001,114.32,112.559998,114.239998,114.239998,1718588,143
2018-09-10,115.040001,115.360001,113.360001,113.68,113.68,1242663,144
2018-09-11,114.160004,117.040001,113.839996,116.800003,116.800003,1551400,145
2018-09-12,118,119.68,117.839996,118.239998,118.239998,2331063,146
2018-09-13,116.879997,117.360001,115.120003,115.919998,115.919998,2303338,147
2018-09-14,115.839996,117.68,114.480003,116,116,2044750,148
2018-09-17,116.879997,117.279999,115.360001,115.760002,115.760002,1802913,149
2018-09-18,117.519997,118.480003,116.720001,117.519997,117.519997,1835950,150
2018-09-19,117.919998,119.599998,117.839996,119.519997,119.519997,2182925,151
2018-09-20,120.160004,120.400002,118.239998,118.400002,118.400002,1846075,152
2018-09-21,119.919998,121.199997,118.239998,119.68,119.68,3544988,153
2018-09-24,121.760002,122.879997,121.360001,122,122,3086350,154
2018-09-25,122.559998,122.879997,121.440002,122.160004,122.160004,2287988,155
2018-09-26,121.360001,121.919998,120.720001,120.879997,120.879997,1383150,156
2018-09-27,122.080002,122.160004,121.199997,122.080002,122.080002,1472738,157
2018-09-28,121.919998,124.559998,121.839996,124.160004,124.160004,2314638,158
2018-10-01,124,128.080002,123.599998,127.599998,127.599998,3278550,159
2018-10-02,127.599998,127.68,126.639999,126.959999,126.959999,1999750,160
2018-10-03,126.800003,129.919998,125.360001,128.639999,128.639999,3278025,161
2018-10-04,128.240005,128.240005,124.879997,125.919998,125.919998,3300213,162
2018-10-05,125.760002,127.040001,124.800003,125.519997,125.519997,3253288,163
2018-10-08,124.480003,125.68,124.239998,125.440002,125.440002,2473338,164
2018-10-09,126.239998,127.199997,125.120003,126.559998,126.559998,2912575,165
2018-10-10,126.160004,126.160004,122.959999,123.040001,123.040001,2259738,166
2018-10-11,121.760002,122.160004,119.120003,119.599998,119.599998,3723563,167
2018-10-12,121.120003,121.279999,119.360001,120.959999,120.959999,3340900,168
2018-10-15,120.959999,121.360001,119.760002,121.040001,121.040001,2797250,169
2018-10-16,120.720001,122.160004,120.400002,121.519997,121.519997,2308700,170
2018-10-17,120.400002,120.480003,117.519997,118.559998,118.559998,3950950,171
2018-10-18,116.480003,118.080002,116.080002,116.480003,116.480003,2988300,172
2018-10-19,117.440002,118.400002,117.040001,117.760002,117.760002,2574550,173
2018-10-22,116.800003,118,116,117.919998,117.919998,2182725,174
2018-10-23,114.879997,115.120003,111.440002,112.32,112.32,5841738,175
2018-10-24,113.919998,114.720001,112.32,112.400002,112.400002,3376750,176
2018-10-25,113.440002,114.639999,113.279999,113.68,113.68,1922625,177
2018-10-26,112.959999,115.040001,112.480003,114.639999,114.639999,2714938,178
2018-10-29,114,114.239998,112.32,112.879997,112.879997,2657913,179
2018-10-30,111.199997,113.279999,110.959999,112.239998,112.239998,2458200,180
2018-10-31,111.919998,113.040001,110.160004,110.32,110.32,3998850,181
2018-11-01,110.879997,110.879997,106.959999,107.68,107.68,4506738,182
2018-11-02,107.360001,108.160004,106.239998,106.480003,106.480003,3595175,183
2018-11-05,107.919998,108.720001,106.32,106.400002,106.400002,2456175,184
2018-11-06,107.120003,107.360001,103.919998,105.440002,105.440002,3702325,185
2018-11-07,106.080002,106.480003,103.839996,104.480003,104.480003,3240038,186
2018-11-08,103.919998,104.480003,102.559998,102.720001,102.720001,3425125,187
2018-11-09,101.199997,102.720001,100.559998,101.599998,101.599998,3858088,188
2018-11-12,102.879997,103.760002,99.519997,99.839996,99.839996,4355875,189
2018-11-13,99.360001,99.839996,92.959999,93.519997,93.519997,10619463,190
2018-11-14,96.160004,97.360001,95.040001,95.599998,95.599998,6936100,191
2018-11-15,95.919998,97.279999,95.440002,95.839996,95.839996,4923988,192
2018-11-16,97.599998,98.400002,94.959999,96.559998,96.559998,3793375,193
2018-11-19,95.040001,97.440002,93.599998,97.120003,97.120003,4316188,194
2018-11-20,94.639999,95.199997,89.279999,90.160004,90.160004,9022213,195
2018-11-21,92.080002,94.559998,91.360001,92.160004,92.160004,4777600,196
2018-11-23,87.040001,87.519997,85.519997,86.639999,86.639999,6942050,197
2018-11-26,87.599998,88.480003,87.040001,87.519997,87.519997,4877700,198
2018-11-27,87.760002,88.639999,85.120003,87.599998,87.599998,4510763,199
2018-11-28,86.800003,88.32,84.800003,85.279999,85.279999,6097725,200
2018-11-29,86.720001,88.32,86.080002,86.959999,86.959999,4139988,201
2018-11-30,85.040001,87.440002,84.080002,85.839996,85.839996,5852475,202
2018-12-03,90.160004,90.160004,88.160004,90.160004,90.160004,4072788,203
2018-12-04,90,90.800003,89.199997,89.440002,89.440002,3399300,204
2018-12-06,86.879997,88,84.800003,87.519997,87.519997,5738675,205
2018-12-07,90.959999,91.839996,88.639999,88.879997,88.879997,5410950,206
2018-12-10,86.959999,88.239998,85.599998,86,86,3925263,207
2018-12-11,88.32,88.800003,86.800003,87.599998,87.599998,2606038,208
2018-12-12,88.559998,89.040001,86.32,86.559998,86.559998,3284500,209
2018-12-13,85.919998,90.160004,85.760002,89.68,89.68,6635338,210
2018-12-14,88.720001,88.800003,86.239998,86.559998,86.559998,4474000,211
2018-12-17,87.120003,87.279999,83.279999,83.599998,83.599998,5016200,212
2018-12-18,83.279999,83.279999,77.839996,78.32,78.32,7047738,213
2018-12-19,79.760002,81.599998,79.360001,80.160004,80.160004,4808563,214
2018-12-20,78.480003,79.68,77.120003,77.760002,77.760002,5516575,215
2018-12-21,76.959999,78.239998,76.32,76.559998,76.559998,4862650,216
2018-12-24,75.919998,76.160004,74.239998,74.32,74.32,2699775,217
2018-12-26,74,79.360001,73.839996,79.199997,79.199997,5122350,218
2018-12-27,76.720001,77.199997,74.959999,76.959999,76.959999,4572338,219
2018-12-28,76.32,77.199997,75.040001,76.239998,76.239998,2850425,220
2018-12-31,77.040001,77.68,75.519997,77.279999,77.279999,3552175,221
2019-01-02,75.360001,80.639999,74.879997,78.800003,78.800003,4137850,222
2019-01-03,79.919998,80.080002,77.199997,79.599998,79.599998,4027375,223
2019-01-04,81.360001,83.120003,80.480003,81.440002,81.440002,4864513,224
2019-01-07,82.160004,84.160004,81.839996,82.32,82.32,4031138,225
2019-01-08,83.440002,84.400002,82.879997,84,84,3644150,226
2019-01-09,86.480003,88.800003,85.519997,88.400002,88.400002,6148538,227
2019-01-10,87.120003,89.120003,86.800003,88.800003,88.800003,2647250,228
2019-01-11,87.839996,88.400002,86.480003,87.199997,87.199997,3576688,229
2019-01-14,86.480003,87.440002,85.040001,85.519997,85.519997,3882538,230
2019-01-15,86.800003,88.32,86.800003,88,88,2989488,231
2019-01-16,87.599998,88.559998,86.559998,88.480003,88.480003,4094163,232
2019-01-17,87.040001,88.800003,86.160004,88.239998,88.239998,4481600,233
2019-01-18,88.959999,90.959999,88.32,90.480003,90.480003,5105025,234
2019-01-22,88.720001,89.279999,87.440002,88.959999,88.959999,4597175,235
2019-01-23,89.360001,89.519997,87.120003,88.400002,88.400002,3630600,236
2019-01-24,88.480003,89.839996,88.239998,89.360001,89.360001,2748363,237
2019-01-25,89.599998,90.400002,89.279999,90,90,2220975,238
2019-01-28,87.519997,87.760002,86.239998,87.599998,87.599998,3613913,239
2019-01-29,88.959999,90.639999,88.959999,89.279999,89.279999,2847825,240
2019-01-30,90.720001,92.32,90.32,91.199997,91.199997,2582500,241
2019-01-31,92,93.040001,90.080002,90.800003,90.800003,3443350,242
2019-02-01,91.199997,93.519997,91.120003,93.040001,93.040001,2362475,243
2019-02-04,91.040001,92.160004,89.599998,92,92,2478475,244
